i0,i1,sign,n_arcs,is_compound,C_m,L_m,S,A_bend_m,A_bend_star,apex_idx,A_up_m,A_down_m,AR,openness,baseline_m,cluster
2914,2999,-1,5,1,2367.636376277448,3042.0121048251717,1.2848307853793075,225.80638341440968,5.645159585360242,2990,219.36277162337973,225.35426637403185,0.9734129961369016,88.70869614502186,2367.636376277448,3
2931,3003,1,5,1,1986.8113093993447,2585.8922424840084,1.3015288519098365,353.608534017163,8.840213350429075,2991,353.54374510114224,346.4733792750096,1.02040666397207,119.96608871739454,1986.8113093993447,4
2999,3076,1,3,0,2188.1437877523263,2645.3168421629634,1.208931907020721,405.5013458475164,10.13753364618791,3044,404.4402692408375,403.3056889811824,1.0028132017242832,103.00568942588976,2188.1437877523263,0
3027,3079,-1,3,0,1433.4915405594502,1777.713224967562,1.2401281588824529,351.1487396860443,8.778718492151107,3046,349.7650713944356,350.8330760879158,0.9969558038672142,114.05571865709368,1433.4915405594502,0
3036,3138,1,4,1,2731.4296307039904,3342.889280401425,1.223860663596828,265.7330862465968,6.64332715616492,3128,264.60010726650785,262.3965484419559,1.0083978193982968,85.29580849333732,2731.4296307039904,0
3076,3154,-1,4,1,1861.184689183922,2491.472811325924,1.3386488862738095,237.77074499868328,5.944268624967082,3145,236.64593407517785,232.93263811052736,1.0159415013489372,111.4345427319006,1861.184689183922,4
3119,3175,1,3,0,1012.8820713020668,1720.9547459028436,1.6990672405629064,297.1983881285707,7.4299597032142675,3145,293.1218913013727,295.7772623313889,0.9910223963495844,44.81911643981897,1012.8820713020668,1
3140,3212,-1,3,0,1241.7391966019193,2348.1447379988995,1.8910128184925736,390.3159351998404,9.75789837999601,3189,387.0130524429477,387.9624968440846,0.9975527418014362,113.35206632593336,1241.7391966019193,1
3154,3217,1,3,0,956.6905471258852,2079.248487340348,2.173376222423103,463.8880635501003,11.597201588752508,3200,460.9107170689463,463.0095848939677,0.9954669019962036,116.082193585859,956.6905471258852,1
3232,3278,1,3,0,1343.3412440754576,1643.8781299402642,1.2237234114490756,260.84524389805944,6.521131097451486,3269,259.8452965296474,254.3127535648534,1.0217548781460664,95.77318215533032,1343.3412440754576,4
3250,3318,-1,4,1,1885.0977451187812,2583.4113562280672,1.3704389403241712,642.8529972945855,16.07132493236464,3271,639.4977267772433,639.1925816594012,1.000477391519548,119.89288249909144,1885.0977451187812,2
3263,3332,1,4,1,2038.8692212819185,2575.071433458884,1.262989997877271,273.2609372504982,6.831523431262456,3322,272.0629619345887,267.5952397227168,1.016695820958928,117.39360833971598,2038.8692212819185,4
3315,3357,-1,3,0,967.7548301920028,1425.751263920636,1.4732566755959944,205.1918754880093,5.129796887200233,3349,202.45693607680155,198.88602443560745,1.0179545629278253,117.72529603703131,967.7548301920028,4
3342,3403,-1,4,1,1448.4984523856392,2187.6908366288417,1.510316309296549,348.3785564949195,8.709463912372987,3373,348.2767485696662,345.0779642768416,1.00926974372162,118.25051154069514,1448.4984523856392,4
3357,3404,1,4,1,1185.3847735417437,1713.6619838834326,1.445658846083605,248.33212530980688,6.208303132745172,3374,247.81153249805257,246.4525724654011,1.0055140833753815,115.75559251161306,1185.3847735417437,0
3368,3406,1,3,0,964.3869009904836,1399.2684371057185,1.4509409404758455,334.1827025183018,8.354567562957545,3394,332.7809787684225,328.3047288321459,1.0136344363731815,119.70178845465178,964.3869009904836,4
3386,3471,-1,3,0,2468.098853485113,3005.897785326195,1.2179000776576172,378.3671456152352,9.45917864038088,3443,378.3039362314437,375.95156127687096,1.00625712245105,108.09212881154528,2468.098853485113,0
3403,3472,1,3,0,2178.873272374949,2433.1043654167643,1.1166800732585545,330.5996232454166,8.264990581135415,3444,328.0684682486737,330.40209546620576,0.9929370084223008,115.19596464352018,2178.873272374949,0
3436,3486,-1,3,0,1406.9167664762963,1725.1955883104613,1.2262243434850182,207.56376085499957,5.189094021374989,3477,199.9967515113792,207.43153771864044,0.9641578793223536,118.60604660213944,1406.9167664762963,3
3471,3550,1,7,1,2285.719038071056,2836.9205287296554,1.2411501507743334,245.6417545860622,6.141043864651556,3517,243.42624111880627,241.80900243913604,1.0066880830050042,119.00514254362936,2285.719038071056,0
3499,3599,1,7,1,2187.635334709013,3597.4016614558345,1.6444247376971264,818.5615357820706,20.464038394551764,3571,812.5435728114791,817.4188487529254,0.9940357676497376,107.03149915888017,2187.635334709013,2
3594,3655,1,3,0,1795.1737047891734,2228.567494463,1.2414216454472435,264.87661172442495,6.621915293110623,3644,262.717459833534,262.16338650206285,1.0021134657240431,112.23399213596625,1795.1737047891734,0
3618,3657,-1,3,0,1196.0748073436378,1493.931584370725,1.2490285517246176,334.2755853471536,8.35688963367884,3644,332.0043810133883,331.67108628685565,1.0010048953324933,116.85842069602892,1196.0748073436378,0
3655,3741,-1,7,1,2053.185251665462,3019.506571205259,1.4706449740742855,537.9347871925887,13.448369679814718,3721,534.8333217294227,534.5633271865382,1.0005050749446385,112.58986469011089,2053.185251665462,0
3716,3753,-1,3,0,685.5828461590794,1230.265636988882,1.794481358279809,299.4102572517494,7.485256431293735,3742,293.8302069678916,297.25513907007564,0.9884781399813692,116.7760843709174,685.5828461590794,1
3737,3806,1,4,1,2115.040346405324,2618.1487412094966,1.2378717718833332,356.3904525295037,8.909761313237592,3790,355.66729966871065,356.2149740520042,0.9984625172348494,119.8625918580553,2115.040346405324,0
3787,3893,-1,5,1,3396.582598625126,3998.0381825129566,1.1770766841151716,378.7790216608372,9.46947554152093,3812,378.1951180497927,374.76334452576566,1.0091571749856425,118.9109695674838,3396.582598625126,0
3803,3908,1,5,1,3214.8766006697133,3909.0063835054666,1.2159117966428803,392.028391962432,9.8007097990608,3863,389.78076720678143,391.53627101829017,0.995516369896094,116.09604084311404,3214.8766006697133,0
3880,3957,-1,3,0,2044.851737704825,2745.510051681775,1.3426450441650994,367.1646564019208,9.17911641004802,3930,366.9862547531119,361.9106355000441,1.01402450979661,79.52359650251094,2044.851737704825,4
3893,3961,1,3,0,1770.1128486906468,2416.552273149394,1.36519673021803,487.6120066343795,12.190300165859489,3929,482.78380338078654,487.1382632103773,0.9910611418596156,111.76067562689086,1770.1128486906468,0
